gene,p_value,slope,ctrl,condition,p_value_adj,age_group,dataset,comparison,cell_type
MXD4,1.1826027051702815e-14,-0.4537672920658911,PBS,IL-10,1.4817316247133527e-13,All age groups,parsebioscience,IL-10,CD4T
MXI1,1.7666562367230729e-15,0.354480061343345,PBS,IL-10,2.5951570925656174e-14,All age groups,parsebioscience,IL-10,CD4T
MYB,2.307806646248104e-05,0.14875212084481715,PBS,IL-10,5.783091948833484e-05,All age groups,parsebioscience,IL-10,CD4T
MYBL1,0.0035848763057398465,-0.2476637625848021,PBS,IL-10,0.005172424523201927,All age groups,parsebioscience,IL-10,CD4T
MYC,0.00019380442164630804,-0.3491232612743202,PBS,IL-10,0.0003931461124825106,All age groups,parsebioscience,IL-10,CD4T
MYSM1,0.00031565773968704605,0.2696778689542849,PBS,IL-10,0.0005978553510384986,All age groups,parsebioscience,IL-10,CD4T
NCOA1,0.00679380319025314,0.26970086356132367,PBS,IL-10,0.009396623893012459,All age groups,parsebioscience,IL-10,CD4T
NCOA2,5.75662859795701e-06,0.45759631461857264,PBS,IL-10,1.6682474712446846e-05,All age groups,parsebioscience,IL-10,CD4T
NCOA3,1.509588690786501e-10,0.44452709966090076,PBS,IL-10,9.186925461072133e-10,All age groups,parsebioscience,IL-10,CD4T
NFAT5,0.004391421659435145,0.2914710830612856,PBS,IL-10,0.006194521943441628,All age groups,parsebioscience,IL-10,CD4T
NFATC1,2.725014774459909e-07,0.24660507712811838,PBS,IL-10,9.894996855895208e-07,All age groups,parsebioscience,IL-10,CD4T
NFATC2,0.45145148258439904,-0.05773241994066307,PBS,IL-10,0.4943915978944833,All age groups,parsebioscience,IL-10,CD4T
NFATC3,1.3322009912346473e-07,0.4240979831640784,PBS,IL-10,5.112771371765404e-07,All age groups,parsebioscience,IL-10,CD4T
NFE2L2,4.4680942333792856e-09,0.27122317716692107,PBS,IL-10,2.1386608353028942e-08,All age groups,parsebioscience,IL-10,CD4T
NFE2L3,0.08400597610632501,0.13137277020049765,PBS,IL-10,0.10109193734828942,All age groups,parsebioscience,IL-10,CD4T
NFIC,0.4126399501896566,0.023646698673839756,PBS,IL-10,0.45422382113900184,All age groups,parsebioscience,IL-10,CD4T
NFKB1,7.933026985664707e-05,0.27494246740828904,PBS,IL-10,0.000175102046419335,All age groups,parsebioscience,IL-10,CD4T
NFKB2,4.838151423772949e-06,-0.21524112911278695,PBS,IL-10,1.421415521742949e-05,All age groups,parsebioscience,IL-10,CD4T
NFX1,0.16648105049757722,0.047990332535427095,PBS,IL-10,0.19271991171730407,All age groups,parsebioscience,IL-10,CD4T
NFYC,9.147049652451917e-06,-0.16604914841287885,PBS,IL-10,2.5468255895062197e-05,All age groups,parsebioscience,IL-10,CD4T
NME2,2.763653029135699e-13,-1.2733005185528519,PBS,IL-10,2.8031337866947806e-12,All age groups,parsebioscience,IL-10,CD4T
NPAS2,0.02902416736380847,0.0985670464366721,PBS,IL-10,0.036799449412247894,All age groups,parsebioscience,IL-10,CD4T
NR1D1,0.8690904227805264,-0.00703718217246206,PBS,IL-10,0.8878477700347823,All age groups,parsebioscience,IL-10,CD4T
NR1D2,1.0306665796854999e-06,0.4188292682875767,PBS,IL-10,3.377415099584792e-06,All age groups,parsebioscience,IL-10,CD4T
NR1H2,0.0015005250400179932,-0.16715220400878494,PBS,IL-10,0.0023587589189950743,All age groups,parsebioscience,IL-10,CD4T
