TF,median_LPS,median_NS,effect,U,p,FDR,sig
THAP11,1.0185021897708808,9.099102722624092,-8.080600532853211,133.0,9.601548554282076e-39,3.4228421182059004e-38,***
SP110,5.703089480226538,-6.592310560907729,12.295400041134267,14011.0,9.601548554282076e-39,3.4228421182059004e-38,***
ZKSCAN3,-3.4694589645540113,0.5352028611608103,-4.004661825714821,133.0,9.601548554282076e-39,3.4228421182059004e-38,***
ZNF385A,-1.7425018180171008,14.139430810134723,-15.881932628151823,137.0,1.059276734600552e-38,3.747592689836801e-38,***
NFIA,-2.3581694418116506,1.6919824090103823,-4.050151850822033,144.0,1.257824855277018e-38,4.4165729880779505e-38,***
STAT5A,9.08363749456958,-1.8138950336828454,10.897532528252425,13999.0,1.2890589207765696e-38,4.4924665373332686e-38,***
SETDB2,-5.743519151631916,-0.40152230450105764,-5.341996847130858,146.0,1.3210639605204532e-38,4.569902737504086e-38,***
HMGN3,-9.105840024761314,2.4128206158646766,-11.51866064062599,149.0,1.4218963933141742e-38,4.84690230421693e-38,***
TBX19,-1.319507901218302,7.508243302066308,-8.82775120328461,149.0,1.4218963933141742e-38,4.84690230421693e-38,***
ZNF664,-6.1270615872467555,-2.270978671996358,-3.8560829152503975,150.0,1.4571791490849768e-38,4.931178714657132e-38,***
ZNF267,5.233928214634734,-5.291069324510558,10.524997539145293,13986.0,1.7726303826914137e-38,5.912988490834931e-38,***
ZNF589,-4.629468374366237,1.4839052877167158,-6.113373662082953,158.0,1.7726303826914137e-38,5.912988490834931e-38,***
FAM200B,-5.843173372801536,8.65720976100093,-14.500383133802465,159.0,1.816558980982072e-38,5.932398909920474e-38,***
ZNF169,-2.9853873166878997,3.8507084856822025,-6.836095802370102,159.0,1.816558980982072e-38,5.932398909920474e-38,***
BACH1,10.261335121150836,1.0812458261372457,9.180089295013591,13985.0,1.816558980982072e-38,5.932398909920474e-38,***
MAFG,9.334132362109685,-1.7857007262757976,11.119833088385482,13982.0,1.9549440219432178e-38,6.339992071163074e-38,***
JUND,3.890535379928495,5.3133835709314,-1.4228481910029047,166.0,2.1558877366313925e-38,6.943445331081795e-38,***
EGR2,-2.5027725487003956,2.8816005870391317,-5.384373135739527,167.0,2.2092521984863548e-38,7.066580662281697e-38,***
SP1,-0.7609567061193747,10.296596992414713,-11.057553698534088,168.0,2.2639296611598364e-38,7.192211916745875e-38,***
CASZ1,7.470498030694429,-4.836288102202727,12.306786132897155,13970.0,2.6214212130394944e-38,8.271646665469215e-38,***
BATF3,10.156310849572963,-4.126076706069654,14.282387555642616,13964.0,3.0349809322086185e-38,9.51232278752634e-38,***
CENPT,0.3174927805779032,8.236656902394543,-7.91916412181664,186.0,3.5133417953744093e-38,1.093820412293233e-37,***
FOXJ2,-4.619332686543807,9.555066676255489,-14.174399362799296,189.0,3.7799155687911677e-38,1.1690202454473346e-37,***
ZNF689,-0.8172347752845519,0.9147944343427659,-1.7320292096273178,190.0,3.8731676111170527e-38,1.1899797857839892e-37,***
MEF2D,-1.6256370450470772,3.2448046384984073,-4.870441683545485,195.0,4.374862947721518e-38,1.3353339846966988e-37,***
CAMTA2,2.986119023454128,12.55525955071939,-9.569140527265262,196.0,4.4826984445037807e-38,1.3593637490800427e-37,***
ZNF609,-4.130222063696338,6.161764898146266,-10.291986961842603,197.0,4.593175890105061e-38,1.3838794455993957e-37,***
GTF3A,-4.408700644383452,1.6453274558604032,-6.054028100243855,199.0,4.822315499417682e-38,1.4253299609038339e-37,***
MYCL,-3.8294866639757936,11.810591656006661,-15.640078319982454,199.0,4.822315499417682e-38,1.4253299609038339e-37,***
ZNF335,3.4246822386989932,9.013734776081801,-5.589052537382807,199.0,4.822315499417682e-38,1.4253299609038339e-37,***
AHRR,1.9009255992959249,7.993260030831556,-6.092334431535631,201.0,5.062815309621403e-38,1.4870029871655317e-37,***
ZBTB14,-6.6614908028640665,0.8877861891182617,-7.549276991982328,208.0,6.002357092223053e-38,1.7519379762926036e-37,***
ZNF783,-1.092354323970624,4.3729056240721835,-5.4652599480428075,209.0,6.150028678464458e-38,1.7838903061136036e-37,***
KLF16,2.0222198567092677,2.78477152674618,-0.7625516700369124,212.0,6.615062582167163e-38,1.906934707328435e-37,***
ZKSCAN4,-7.655409451196981,-4.011631060278747,-3.643778390918234,218.0,7.652556598952988e-38,2.1791121534823448e-37,***
