group	TF	jackknife	rho
REF_RPMI	FOS	31	-0.12361929307805596
REF_RPMI	FOSL2	31	0.07887123921733642
REF_RPMI	GATA2	31	0.09925310330317694
REF_RPMI	GATA3	31	-0.0862218598779718
REF_RPMI	JUN	31	0.6128366294971597
REF_RPMI	JUND	31	0.26927729854828525
REF_RPMI	MAX	31	-0.2952082895013675
REF_RPMI	MEF2A	31	0.07604407742478433
REF_RPMI	MYC	31	0.4488086471702083
REF_RPMI	NFIC	31	0.0983589312013465
REF_RPMI	PBX3	31	-0.3801151904060593
REF_RPMI	TCF12	31	0.282203345255628
REF_RPMI	SPI1	31	-0.037897117609930565
REF_RPMI	SPIB	31	0.22259625499684407
REF_RPMI	ETV6	31	-0.10167262781401219
REF_RPMI	CEBPB	32	0.44349621291815694
REF_RPMI	FOS	32	-0.1614375131495897
REF_RPMI	FOSL2	32	0.04665474437197559
REF_RPMI	GATA2	32	0.10484167893961707
REF_RPMI	GATA3	32	-0.051322848727119716
REF_RPMI	JUN	32	0.6047364822217546
REF_RPMI	JUND	32	0.24180780559646534
REF_RPMI	MAX	32	-0.2792972859246791
REF_RPMI	MEF2A	32	0.05392646749421418
REF_RPMI	MYC	32	0.4672575215653271
REF_RPMI	NFIC	32	0.09292815064169997
REF_RPMI	PBX3	32	-0.3943561960866821
REF_RPMI	TCF12	32	0.27718020197769827
REF_RPMI	SPI1	32	-0.05829213128550389
REF_RPMI	SPIB	32	0.23315537555228275
REF_RPMI	ETV6	32	-0.12357984430885756
REF_RPMI	CEBPB	33	0.45281927203871236
REF_RPMI	FOS	33	-0.15966231853566168
REF_RPMI	FOSL2	33	0.049192615190406054
REF_RPMI	GATA2	33	0.1054334104775931
REF_RPMI	GATA3	33	-0.07651746265516515
REF_RPMI	JUN	33	0.6056438039133178
REF_RPMI	JUND	33	0.25185409215232485
REF_RPMI	MAX	33	-0.28059909530822635
REF_RPMI	MEF2A	33	0.0663791289711761
REF_RPMI	MYC	33	0.46055123080159893
REF_RPMI	NFIC	33	0.08461760993057016
REF_RPMI	PBX3	33	-0.38449400378708176
REF_RPMI	TCF12	33	0.2815327161792552
REF_RPMI	SPI1	33	-0.0472070271407532
REF_RPMI	SPIB	33	0.2472122869766463
REF_RPMI	ETV6	33	-0.12062118661897747
REF_RPMI	CEBPB	34	0.4632205975173574
REF_RPMI	FOS	34	-0.13056227645697455
REF_RPMI	FOSL2	34	0.05976488533557753
REF_RPMI	GATA2	34	0.1211866189774879
REF_RPMI	GATA3	34	-0.07518935409215231
REF_RPMI	JUN	34	0.6172943404165789
REF_RPMI	JUND	34	0.25662739322533135
REF_RPMI	MAX	34	-0.28800231432779294
REF_RPMI	MEF2A	34	0.07774037450031557
REF_RPMI	MYC	34	0.46861192930780554
REF_RPMI	NFIC	34	0.10421049863244265
REF_RPMI	PBX3	34	-0.38240321901956653
REF_RPMI	TCF12	34	0.2883442036608458
REF_RPMI	SPI1	34	-0.03902798232695139
REF_RPMI	SPIB	34	0.22776404376183462
REF_RPMI	ETV6	34	-0.1018567220702714
REF_RPMI	CEBPB	35	0.46586366505365023
REF_RPMI	FOS	35	-0.12972070271407532
REF_RPMI	FOSL2	35	0.06619503471491689
REF_RPMI	GATA2	35	0.12609141594782242
REF_RPMI	GATA3	35	-0.06632653061224489
REF_RPMI	JUN	35	0.618083315800547
REF_RPMI	JUND	35	0.2605722701451714
REF_RPMI	MAX	35	-0.2786266568483063
REF_RPMI	MEF2A	35	0.0816589522406901
REF_RPMI	MYC	35	0.46900641699978957
REF_RPMI	NFIC	35	0.10301388596675783
REF_RPMI	PBX3	35	-0.38099621291815694
REF_RPMI	TCF12	35	0.28688459920050496
REF_RPMI	SPI1	35	-0.03842310119924259
REF_RPMI	SPIB	35	0.2277771933515674
