targetId,n_trials,pct_reached_phase3,n_reached_phase3,pct_reached_phase2,n_reached_phase2,pct_terminated,n_terminated,pct_withdrawn,n_withdrawn,pct_endpoint_primary,n_endpoint_primary,pct_endpoint_secondary,n_endpoint_secondary,pct_endpoint_either,n_endpoint_either,pct_phase1_to_phase2,n_phase1_to_phase2,targetFromSourceId
ENSG00000026751,37.0,15.8,6.0,76.3,29.0,18.4,7.0,23.7,9.0,36.8,14.0,34.2,13.0,36.8,14.0,60.0,3.0,Q9NQ25
ENSG00000027075,59.0,2.3,2.0,27.3,24.0,13.6,12.0,4.5,4.0,5.7,5.0,5.7,5.0,6.8,6.0,5.6,3.0,P24723
ENSG00000027697,59.0,19.4,13.0,59.7,40.0,22.4,15.0,1.5,1.0,20.9,14.0,23.9,16.0,23.9,16.0,18.8,3.0,P15260
ENSG00000036530,6.0,16.7,1.0,33.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q9Y6A2
ENSG00000036828,52.0,28.3,15.0,71.7,38.0,9.4,5.0,0.0,0.0,50.9,27.0,47.2,25.0,50.9,27.0,13.3,2.0,P41180
ENSG00000037280,1700.0,8.4,163.0,61.6,1193.0,18.7,362.0,4.9,94.0,22.3,431.0,20.7,401.0,23.7,460.0,16.1,94.0,P35916
ENSG00000041357,14.0,5.9,1.0,23.5,4.0,47.1,8.0,5.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,1.0,P25789
ENSG00000041880,188.0,10.0,24.0,49.8,119.0,10.0,24.0,5.4,13.0,18.8,45.0,17.2,41.0,19.2,46.0,21.2,22.0,Q9Y6F1
ENSG00000041982,9.0,0.0,0.0,5.6,1.0,61.1,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P24821
ENSG00000043591,537.0,48.2,294.0,80.8,493.0,12.6,77.0,4.3,26.0,36.4,222.0,35.1,214.0,38.0,232.0,7.8,6.0,P08588
ENSG00000044524,84.0,6.4,7.0,61.5,67.0,17.4,19.0,5.5,6.0,13.8,15.0,12.8,14.0,16.5,18.0,6.5,2.0,P29320
ENSG00000047936,10.0,0.0,0.0,16.7,2.0,25.0,3.0,16.7,2.0,8.3,1.0,8.3,1.0,8.3,1.0,0.0,0.0,P08922
ENSG00000048052,257.0,1.8,6.0,40.4,135.0,23.7,79.0,5.7,19.0,9.6,32.0,7.5,25.0,9.6,32.0,9.8,14.0,Q9UKV0
ENSG00000048392,48.0,4.5,3.0,53.0,35.0,16.7,11.0,0.0,0.0,6.1,4.0,12.1,8.0,12.1,8.0,13.3,4.0,Q7LG56
ENSG00000048462,14.0,14.3,2.0,21.4,3.0,14.3,2.0,14.3,2.0,14.3,2.0,14.3,2.0,14.3,2.0,55.6,5.0,Q02223
ENSG00000049249,20.0,5.0,1.0,15.0,3.0,40.0,8.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q07011
ENSG00000049540,8.0,25.0,2.0,37.5,3.0,0.0,0.0,12.5,1.0,0.0,0.0,25.0,2.0,25.0,2.0,50.0,2.0,P15502
ENSG00000050555,7.0,14.3,1.0,71.4,5.0,42.9,3.0,0.0,0.0,14.3,1.0,14.3,1.0,14.3,1.0,0.0,0.0,Q9Y6N6
ENSG00000050628,58.0,55.9,33.0,88.1,52.0,10.2,6.0,3.4,2.0,45.8,27.0,44.1,26.0,45.8,27.0,60.0,3.0,P43115
ENSG00000050748,4.0,0.0,0.0,75.0,3.0,75.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,P45984
ENSG00000051382,177.0,2.0,4.0,30.7,63.0,22.4,46.0,4.4,9.0,6.3,13.0,3.9,8.0,6.8,14.0,4.5,5.0,P42338
ENSG00000053747,7.0,14.3,1.0,71.4,5.0,42.9,3.0,0.0,0.0,14.3,1.0,14.3,1.0,14.3,1.0,0.0,0.0,Q16787
ENSG00000053918,69.0,60.5,46.0,93.4,71.0,13.2,10.0,5.3,4.0,42.1,32.0,43.4,33.0,44.7,34.0,50.0,2.0,P51787
ENSG00000054219,3.0,0.0,0.0,75.0,3.0,0.0,0.0,25.0,1.0,50.0,2.0,50.0,2.0,50.0,2.0,0.0,0.0,O60449
ENSG00000055118,95.0,62.3,71.0,95.6,109.0,8.8,10.0,6.1,7.0,41.2,47.0,41.2,47.0,43.0,49.0,0.0,0.0,Q12809
ENSG00000056972,1.0,100.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,100.0,1.0,100.0,1.0,,0.0,O43734
ENSG00000057252,5.0,0.0,0.0,100.0,5.0,40.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,P35610
ENSG00000057593,24.0,20.6,7.0,70.6,24.0,17.6,6.0,0.0,0.0,23.5,8.0,26.5,9.0,32.4,11.0,57.1,4.0,P08709
ENSG00000058085,7.0,14.3,1.0,71.4,5.0,42.9,3.0,0.0,0.0,14.3,1.0,14.3,1.0,14.3,1.0,0.0,0.0,Q13753
ENSG00000058091,14.0,0.0,0.0,26.7,4.0,20.0,3.0,13.3,2.0,0.0,0.0,6.7,1.0,6.7,1.0,50.0,4.0,O94921
ENSG00000059377,9.0,33.3,3.0,100.0,9.0,22.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,P24557
ENSG00000059758,14.0,0.0,0.0,26.7,4.0,20.0,3.0,13.3,2.0,0.0,0.0,6.7,1.0,6.7,1.0,50.0,4.0,Q00537
ENSG00000060718,48.0,56.2,27.0,89.6,43.0,8.3,4.0,6.2,3.0,54.2,26.0,50.0,24.0,54.2,26.0,25.0,1.0,P12107
ENSG00000061273,257.0,1.8,6.0,40.4,135.0,23.7,79.0,5.7,19.0,9.6,32.0,7.5,25.0,9.6,32.0,9.8,14.0,Q8WUI4
ENSG00000061918,203.0,27.2,62.0,75.4,172.0,19.3,44.0,4.8,11.0,22.8,52.0,15.8,36.0,24.1,55.0,33.3,15.0,Q02153
ENSG00000062038,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P22223
ENSG00000062822,2225.0,14.7,405.0,67.0,1848.0,18.5,511.0,4.6,127.0,32.1,885.0,31.5,869.0,34.4,948.0,19.0,123.0,P28340
ENSG00000063176,6.0,0.0,0.0,50.0,3.0,16.7,1.0,33.3,2.0,33.3,2.0,33.3,2.0,33.3,2.0,0.0,0.0,Q9NRA0
ENSG00000063177,37.0,23.9,11.0,82.6,38.0,39.1,18.0,4.3,2.0,37.0,17.0,32.6,15.0,41.3,19.0,0.0,0.0,Q07020
ENSG00000064012,10.0,0.0,0.0,63.6,7.0,27.3,3.0,0.0,0.0,45.5,5.0,27.3,3.0,45.5,5.0,0.0,0.0,Q14790
ENSG00000064989,87.0,49.4,43.0,80.5,70.0,12.6,11.0,1.1,1.0,47.1,41.0,47.1,41.0,48.3,42.0,60.0,9.0,Q16602
ENSG00000065325,33.0,54.5,18.0,84.8,28.0,0.0,0.0,0.0,0.0,69.7,23.0,63.6,21.0,69.7,23.0,0.0,0.0,O95838
ENSG00000065361,148.0,5.5,10.0,56.3,103.0,24.6,45.0,4.9,9.0,12.0,22.0,13.1,24.0,15.3,28.0,5.1,3.0,P21860
ENSG00000065518,681.0,45.6,329.0,76.2,550.0,11.5,83.0,3.7,27.0,42.7,308.0,42.9,310.0,45.2,326.0,25.2,32.0,O95168
ENSG00000065675,59.0,2.3,2.0,27.3,24.0,13.6,12.0,4.5,4.0,5.7,5.0,5.7,5.0,6.8,6.0,5.6,3.0,Q04759
ENSG00000065883,14.0,0.0,0.0,26.7,4.0,20.0,3.0,13.3,2.0,0.0,0.0,6.7,1.0,6.7,1.0,50.0,4.0,Q14004
ENSG00000065989,342.0,33.3,120.0,81.1,292.0,8.6,31.0,4.4,16.0,33.6,121.0,34.7,125.0,36.7,132.0,19.6,10.0,P27815
ENSG00000066230,25.0,40.0,10.0,100.0,25.0,16.0,4.0,12.0,3.0,68.0,17.0,76.0,19.0,76.0,19.0,,0.0,P48764
ENSG00000066405,2.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,P56856
ENSG00000066468,345.0,12.4,49.0,58.7,232.0,23.8,94.0,6.6,26.0,20.3,80.0,19.7,78.0,22.3,88.0,9.1,11.0,P21802
ENSG00000067182,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P19438
ENSG00000067191,16.0,43.8,7.0,68.8,11.0,50.0,8.0,18.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,Q02641
ENSG00000067606,59.0,2.3,2.0,27.3,24.0,13.6,12.0,4.5,4.0,5.7,5.0,5.7,5.0,6.8,6.0,5.6,3.0,Q05513
ENSG00000067900,38.0,4.3,2.0,70.2,33.0,12.8,6.0,0.0,0.0,34.0,16.0,31.9,15.0,34.0,16.0,0.0,0.0,Q13464
ENSG00000067992,8.0,11.1,1.0,77.8,7.0,22.2,2.0,11.1,1.0,11.1,1.0,22.2,2.0,22.2,2.0,0.0,0.0,Q15120
ENSG00000068024,257.0,1.8,6.0,40.4,135.0,23.7,79.0,5.7,19.0,9.6,32.0,7.5,25.0,9.6,32.0,9.8,14.0,P56524
ENSG00000068078,472.0,9.2,49.0,62.5,334.0,21.9,117.0,4.9,26.0,21.2,113.0,18.4,98.0,22.1,118.0,14.5,22.0,P22607
ENSG00000068654,2.0,0.0,0.0,50.0,1.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O95602
ENSG00000069431,21.0,50.0,11.0,86.4,19.0,0.0,0.0,13.6,3.0,45.5,10.0,50.0,11.0,54.5,12.0,0.0,0.0,O60706
ENSG00000069535,89.0,56.8,54.0,82.1,78.0,15.8,15.0,0.0,0.0,24.2,23.0,27.4,26.0,27.4,26.0,20.0,3.0,P27338
ENSG00000069696,493.0,67.5,363.0,88.1,474.0,11.0,59.0,3.2,17.0,37.7,203.0,37.4,201.0,40.3,217.0,22.8,13.0,P21917
ENSG00000069764,5.0,20.0,1.0,80.0,4.0,40.0,2.0,0.0,0.0,60.0,3.0,40.0,2.0,60.0,3.0,,0.0,O15496
ENSG00000069849,5.0,0.0,0.0,60.0,3.0,0.0,0.0,40.0,2.0,40.0,2.0,40.0,2.0,40.0,2.0,,0.0,P54709
ENSG00000070019,38.0,48.7,19.0,92.3,36.0,10.3,4.0,0.0,0.0,84.6,33.0,87.2,34.0,87.2,34.0,0.0,0.0,P25092
ENSG00000070886,82.0,6.6,7.0,63.2,67.0,17.9,19.0,5.7,6.0,14.2,15.0,13.2,14.0,17.0,18.0,6.7,2.0,P29322
ENSG00000070915,231.0,82.7,211.0,90.6,231.0,3.9,10.0,4.3,11.0,38.0,97.0,36.9,94.0,39.2,100.0,4.8,1.0,P55017
ENSG00000071082,37.0,23.9,11.0,82.6,38.0,39.1,18.0,4.3,2.0,37.0,17.0,32.6,15.0,41.3,19.0,0.0,0.0,P62899
ENSG00000072062,2.0,0.0,0.0,0.0,0.0,50.0,1.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,P17612
ENSG00000072274,4.0,0.0,0.0,25.0,2.0,0.0,0.0,0.0,0.0,25.0,2.0,25.0,2.0,25.0,2.0,16.7,1.0,P02786
ENSG00000072694,1.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,P31994
